time,coin,dir,px,sz,ntl,fee,closedPnl
11/24/2025 - 02:41:57,SUI,Open Long,1.3431785043,1287.7,1729.61095998711,0.747191,-0.747191
11/24/2025 - 02:43:21,SUI,Open Long,1.3422551787,2149.2,2884.77483006204,1.24622,-1.24622
11/24/2025 - 03:16:07,SUI,Close Long,1.3842750777,30943.4,42834.17743930218,18.504354,1024.1359140000002
11/24/2025 - 04:30:00,SUI,Open Short,1.3921,409.9,570.6217899999999,0.082169,-0.082169
11/24/2025 - 04:30:00,SUI,Open Short,1.3921,21158.7,29455.02627,4.241523,-4.241523
11/24/2025 - 04:31:53,SUI,Open Short,1.394,1948.7,2716.4878,1.173522,-1.173522
11/24/2025 - 04:33:20,SUI,Open Short,1.398311254,1991.3,2784.4572000902,1.202884,-1.202884
11/24/2025 - 05:09:51,SUI,Open Short,1.4041,511.4,718.0567399999999,0.3102,-0.3102
11/24/2025 - 05:14:57,SUI,Open Short,1.3965,1359.1,1897.98315,0.819927,-0.819927
11/24/2025 - 06:40:37,SUI,Open Short,1.4067,2077.1,2921.85657,1.262242,-1.262242
11/24/2025 - 07:18:20,SUI,Close Short,1.3947553934,29456.2,41084.193819069085,17.748367,-37.642891
